0,1,2,3,4,5,6,7,8,9,10
soft cheese,soda,,,,,,,,,
coffee,other vegetables,,,,,,,,,
chicken,pastry,,,,,,,,,
beverages,waffles,,,,,,,,,
pastry,waffles,,,,,,,,,
candy,shopping bags,,,,,,,,,
yogurt,margarine,newspapers,,,,,,,,
bottled beer,packaged fruit/vegetables,,,,,,,,,
meat,domestic eggs,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
rolls/buns,red/blush wine,,,,,,,,,
ham,yogurt,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
root vegetables,pip fruit,coffee,,,,,,,,
frozen meals,UHT-milk,,,,,,,,,
pastry,sliced cheese,,,,,,,,,
hamburger meat,dog food,,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
yogurt,root vegetables,,,,,,,,,
whipped/sour cream,cream cheese ,,,,,,,,,
pork,cream cheese ,,,,,,,,,
tropical fruit,snack products,,,,,,,,,
preservation products,soups,,,,,,,,,
tropical fruit,root vegetables,,,,,,,,,
hamburger meat,pork,,,,,,,,,
grapes,chicken,bottled beer,root vegetables,,,,,,,
shopping bags,skin care,,,,,,,,,
bottled water,chewing gum,,,,,,,,,
beef,whole milk,,,,,,,,,
pork,other vegetables,,,,,,,,,
fruit/vegetable juice,vinegar,,,,,,,,,
tropical fruit,frozen fish,,,,,,,,,
onions,brown bread,canned vegetables,canned beer,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
canned beer,misc. beverages,liqueur,,,,,,,,
frankfurter,yogurt,,,,,,,,,
sausage,root vegetables,,,,,,,,,
soda,napkins,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
oil,other vegetables,rolls/buns,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
beef,kitchen towels,fruit/vegetable juice,,,,,,,,
hard cheese,yogurt,,,,,,,,,
yogurt,pastry,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
tropical fruit,other vegetables,hamburger meat,popcorn,female sanitary products,,,,,,
rolls/buns,soda,,,,,,,,,
pet care,pip fruit,candy,,,,,,,,
candy,other vegetables,,,,,,,,,
sausage,salt,,,,,,,,,
meat,cream cheese ,,,,,,,,,
misc. beverages,pip fruit,,,,,,,,,
yogurt,whole milk,,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
root vegetables,butter milk,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
napkins,pastry,,,,,,,,,
beef,pastry,candy,,,,,,,,
other vegetables,whole milk,,,,,,,,,
tropical fruit,onions,,,,,,,,,
other vegetables,soda,,,,,,,,,
sausage,cat food,,,,,,,,,
rolls/buns,condensed milk,whole milk,soda,,,,,,,
pip fruit,domestic eggs,seasonal products,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
sausage,butter,,,,,,,,,
whole milk,yogurt,,,,,,,,,
whole milk,flour,,,,,,,,,
sausage,white bread,,,,,,,,,
sausage,soda,bottled water,,,,,,,,
chicken,salty snack,,,,,,,,,
salt,oil,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
fruit/vegetable juice,domestic eggs,,,,,,,,,
frozen vegetables,salad dressing,,,,,,,,,
cream cheese ,pastry,,,,,,,,,
bottled beer,tropical fruit,,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
ham,whole milk,,,,,,,,,
pastry,frankfurter,long life bakery product,whipped/sour cream,,,,,,,
canned fish,bottled water,rolls/buns,,,,,,,,
citrus fruit,coffee,,,,,,,,,
rolls/buns,butter,,,,,,,,,
curd cheese,popcorn,,,,,,,,,
other vegetables,root vegetables,,,,,,,,,
rolls/buns,root vegetables,domestic eggs,ice cream,,,,,,,
soda,frankfurter,butter,whole milk,,,,,,,
rolls/buns,margarine,,,,,,,,,
pork,yogurt,,,,,,,,,
sausage,other vegetables,,,,,,,,,
whole milk,newspapers,,,,,,,,,
cat food,newspapers,fruit/vegetable juice,,,,,,,,
citrus fruit,female sanitary products,,,,,,,,,
whole milk,dessert,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
butter milk,candles,pot plants,,,,,,,,
shopping bags,bottled water,,,,,,,,,
misc. beverages,liquor (appetizer),,,,,,,,,
canned beer,yogurt,cream cheese ,,,,,,,,
newspapers,cream,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
packaged fruit/vegetables,semi-finished bread,,,,,,,,,
whole milk,bottled beer,,,,,,,,,
oil,soda,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
yogurt,sausage,yogurt,pip fruit,curd,,,,,,
red/blush wine,whole milk,,,,,,,,,
canned beer,dessert,,,,,,,,,
coffee,sliced cheese,,,,,,,,,
tropical fruit,domestic eggs,chocolate,,,,,,,,
pork,spread cheese,,,,,,,,,
citrus fruit,herbs,pudding powder,,,,,,,,
misc. beverages,rolls/buns,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
packaged fruit/vegetables,specialty bar,whipped/sour cream,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
sliced cheese,skin care,,,,,,,,,
yogurt,newspapers,,,,,,,,,
UHT-milk,dessert,,,,,,,,,
pip fruit,shopping bags,white wine,pet care,,,,,,,
fish,whole milk,,,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
meat,rolls/buns,,,,,,,,,
cleaner,other vegetables,,,,,,,,,
specialty chocolate,bottled water,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
citrus fruit,specialty chocolate,,,,,,,,,
butter,yogurt,,,,,,,,,
tropical fruit,pip fruit,herbs,yogurt,bottled water,sweet spreads,,,,,
frankfurter,frankfurter,beef,domestic eggs,hard cheese,processed cheese,curd,shopping bags,,,
dessert,dishes,,,,,,,,,
fruit/vegetable juice,specialty bar,root vegetables,sliced cheese,butter,chocolate,,,,,
ham,rolls/buns,whole milk,rum,berries,cleaner,,,,,
beef,cream cheese ,,,,,,,,,
other vegetables,other vegetables,newspapers,pip fruit,,,,,,,
citrus fruit,fruit/vegetable juice,,,,,,,,,
soda,long life bakery product,,,,,,,,,
whole milk,whipped/sour cream,,,,,,,,,
bottled water,other vegetables,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
berries,pork,whole milk,frozen vegetables,domestic eggs,,,,,,
Instant food products,whipped/sour cream,butter,cake bar,,,,,,,
sausage,whole milk,,,,,,,,,
canned beer,berries,male cosmetics,fruit/vegetable juice,,,,,,,
soda,other vegetables,,,,,,,,,
hamburger meat,white wine,,,,,,,,,
canned beer,curd,,,,,,,,,
frankfurter,soda,soda,,,,,,,,
finished products,UHT-milk,,,,,,,,,
whole milk,soda,mustard,,,,,,,,
specialty chocolate,herbs,,,,,,,,,
napkins,pastry,,,,,,,,,
soft cheese,hard cheese,,,,,,,,,
bottled water,herbs,,,,,,,,,
white bread,specialty bar,newspapers,,,,,,,,
packaged fruit/vegetables,bottled beer,,,,,,,,,
citrus fruit,domestic eggs,,,,,,,,,
pip fruit,skin care,,,,,,,,,
other vegetables,soda,root vegetables,flower soil/fertilizer,meat,shopping bags,soda,processed cheese,,,
canned beer,brown bread,,,,,,,,,
organic sausage,grapes,pastry,,,,,,,,
citrus fruit,pastry,other vegetables,pastry,,,,,,,
curd,other vegetables,,,,,,,,,
specialty chocolate,frozen vegetables,other vegetables,cream cheese ,,,,,,,
brown bread,sparkling wine,,,,,,,,,
citrus fruit,citrus fruit,bottled water,pastry,,,,,,,
turkey,onions,,,,,,,,,
chicken,UHT-milk,,,,,,,,,
chicken,dishes,,,,,,,,,
sausage,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
candy,soda,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
butter milk,soda,seasonal products,,,,,,,,
bottled water,bottled beer,,,,,,,,,
meat,whole milk,,,,,,,,,
pastry,bottled water,,,,,,,,,
onions,white wine,,,,,,,,,
pork,bottled water,tea,,,,,,,,
pastry,rolls/buns,,,,,,,,,
sausage,hamburger meat,newspapers,,,,,,,,
sausage,salad dressing,,,,,,,,,
artif. sweetener,herbs,,,,,,,,,
bottled beer,newspapers,,,,,,,,,
other vegetables,newspapers,,,,,,,,,
bottled water,hygiene articles,,,,,,,,,
bottled water,citrus fruit,,,,,,,,,
cat food,yogurt,candy,,,,,,,,
misc. beverages,other vegetables,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
rolls/buns,meat,whole milk,domestic eggs,white bread,domestic eggs,,,,,
chicken,curd,,,,,,,,,
other vegetables,soda,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
butter,waffles,,,,,,,,,
pot plants,coffee,rolls/buns,hard cheese,,,,,,,
meat,other vegetables,zwieback,,,,,,,,
pastry,red/blush wine,,,,,,,,,
detergent,newspapers,,,,,,,,,
bottled water,flour,sugar,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
brown bread,rolls/buns,processed cheese,,,,,,,,
root vegetables,frozen vegetables,,,,,,,,,
yogurt,margarine,,,,,,,,,
bottled water,whipped/sour cream,,,,,,,,,
whole milk,root vegetables,hygiene articles,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
pork,brown bread,,,,,,,,,
yogurt,butter,,,,,,,,,
hygiene articles,pastry,,,,,,,,,
sausage,tropical fruit,,,,,,,,,
soda,domestic eggs,,,,,,,,,
frankfurter,pork,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
dessert,curd,,,,,,,,,
root vegetables,soda,long life bakery product,,,,,,,,
rolls/buns,tropical fruit,seasonal products,fruit/vegetable juice,,,,,,,
other vegetables,other vegetables,other vegetables,hamburger meat,soda,soft cheese,waffles,,,,
red/blush wine,salty snack,,,,,,,,,
whole milk,waffles,soft cheese,domestic eggs,dish cleaner,bathroom cleaner,,,,,
frankfurter,shopping bags,,,,,,,,,
white bread,bottled water,,,,,,,,,
pip fruit,snack products,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
yogurt,pork,UHT-milk,specialty bar,,,,,,,
white bread,tropical fruit,,,,,,,,,
pork,frozen meals,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
baking powder,pickled vegetables,,,,,,,,,
pork,root vegetables,,,,,,,,,
coffee,rolls/buns,soda,,,,,,,,
beef,dessert,,,,,,,,,
whole milk,canned beer,,,,,,,,,
canned beer,yogurt,,,,,,,,,
pork,white wine,,,,,,,,,
beverages,coffee,,,,,,,,,
root vegetables,pickled vegetables,,,,,,,,,
yogurt,chewing gum,whipped/sour cream,shopping bags,,,,,,,
whole milk,curd,bottled beer,newspapers,,,,,,,
packaged fruit/vegetables,pip fruit,,,,,,,,,
sausage,brown bread,,,,,,,,,
citrus fruit,frankfurter,tropical fruit,napkins,,,,,,,
newspapers,waffles,salty snack,,,,,,,,
pip fruit,soda,brown bread,,,,,,,,
chicken,spread cheese,,,,,,,,,
sausage,canned beer,,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
whole milk,whole milk,,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
yogurt,rolls/buns,,,,,,,,,
ice cream,long life bakery product,,,,,,,,,
hamburger meat,shopping bags,,,,,,,,,
newspapers,beverages,beef,chocolate,kitchen towels,,,,,,
shopping bags,rolls/buns,,,,,,,,,
sausage,frankfurter,grapes,sausage,dog food,misc. beverages,napkins,artif. sweetener,,,
pork,bottled water,,,,,,,,,
roll products ,butter milk,,,,,,,,,
root vegetables,soda,specialty bar,other vegetables,frozen vegetables,,,,,,
tropical fruit,whipped/sour cream,,,,,,,,,
canned beer,margarine,,,,,,,,,
bottled water,frozen dessert,root vegetables,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
pork,waffles,tropical fruit,pork,canned beer,whipped/sour cream,newspapers,cream cheese ,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,newspapers,specialty bar,bottled water,,,,,,,
root vegetables,domestic eggs,,,,,,,,,
root vegetables,ham,,,,,,,,,
beef,whole milk,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
whole milk,hamburger meat,,,,,,,,,
pastry,whole milk,,,,,,,,,
soda,beef,soda,margarine,,,,,,,
tropical fruit,photo/film,,,,,,,,,
canned beer,domestic eggs,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
bottled beer,shopping bags,soda,,,,,,,,
margarine,herbs,,,,,,,,,
meat,whole milk,,,,,,,,,
whipped/sour cream,hygiene articles,,,,,,,,,
butter,specialty chocolate,frozen meals,,,,,,,,
rolls/buns,yogurt,napkins,,,,,,,,
whole milk,pork,brown bread,other vegetables,,,,,,,
whole milk,fruit/vegetable juice,rolls/buns,,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
meat,domestic eggs,,,,,,,,,
yogurt,chicken,soda,,,,,,,,
whole milk,brown bread,,,,,,,,,
whole milk,tropical fruit,,,,,,,,,
whole milk,berries,,,,,,,,,
grapes,berries,brown bread,,,,,,,,
berries,tropical fruit,rolls/buns,pastry,rolls/buns,whole milk,frozen vegetables,,,,
other vegetables,rolls/buns,,,,,,,,,
yogurt,pet care,,,,,,,,,
chicken,brown bread,soda,,,,,,,,
cat food,sparkling wine,,,,,,,,,
salty snack,condensed milk,,,,,,,,,
soda,soda,roll products ,,,,,,,,
meat,grapes,,,,,,,,,
frozen meals,other vegetables,specialty chocolate,,,,,,,,
yogurt,chocolate,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
pip fruit,frozen meals,whole milk,rolls/buns,,,,,,,
other vegetables,soft cheese,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
tropical fruit,fish,,,,,,,,,
beef,other vegetables,,,,,,,,,
grapes,grapes,,,,,,,,,
brown bread,shopping bags,,,,,,,,,
whole milk,liquor (appetizer),,,,,,,,,
pip fruit,bottled beer,margarine,,,,,,,,
canned beer,rolls/buns,artif. sweetener,soda,,,,,,,
zwieback,tropical fruit,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
berries,white wine,,,,,,,,,
citrus fruit,brown bread,,,,,,,,,
canned beer,red/blush wine,,,,,,,,,
potato products,oil,,,,,,,,,
beef,yogurt,,,,,,,,,
frankfurter,frankfurter,grapes,brown bread,,,,,,,
salty snack,coffee,,,,,,,,,
whole milk,specialty chocolate,,,,,,,,,
whole milk,bottled water,,,,,,,,,
frankfurter,frozen meals,,,,,,,,,
whole milk,beef,,,,,,,,,
canned beer,soda,candles,pickled vegetables,,,,,,,
processed cheese,rolls/buns,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
pastry,chocolate,,,,,,,,,
whole milk,canned beer,,,,,,,,,
frankfurter,sausage,whole milk,domestic eggs,fruit/vegetable juice,,,,,,
whole milk,domestic eggs,long life bakery product,,,,,,,,
beef,butter milk,,,,,,,,,
yogurt,coffee,,,,,,,,,
frozen potato products,frozen vegetables,,,,,,,,,
bottled beer,sliced cheese,,,,,,,,,
whole milk,candles,yogurt,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
rolls/buns,semi-finished bread,fruit/vegetable juice,,,,,,,,
butter milk,bottled beer,soda,,,,,,,,
hamburger meat,citrus fruit,specialty chocolate,other vegetables,,,,,,,
whole milk,other vegetables,,,,,,,,,
fruit/vegetable juice,pasta,,,,,,,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
beef,pip fruit,,,,,,,,,
cereals,soda,,,,,,,,,
flour,soda,,,,,,,,,
meat,pork,other vegetables,other vegetables,root vegetables,other vegetables,pip fruit,margarine,,,
pip fruit,canned beer,hygiene articles,coffee,,,,,,,
root vegetables,butter,,,,,,,,,
pot plants,citrus fruit,,,,,,,,,
frankfurter,tropical fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
pasta,soda,,,,,,,,,
chicken,shopping bags,,,,,,,,,
curd,brown bread,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
rolls/buns,yogurt,shopping bags,,,,,,,,
soda,whole milk,,,,,,,,,
whole milk,baking powder,,,,,,,,,
UHT-milk,berries,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
sausage,berries,rolls/buns,,,,,,,,
pastry,semi-finished bread,dishes,napkins,,,,,,,
chocolate,rolls/buns,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
specialty chocolate,sugar,domestic eggs,,,,,,,,
butter,curd,,,,,,,,,
berries,pork,waffles,herbs,yogurt,specialty cheese,fruit/vegetable juice,long life bakery product,,,
root vegetables,coffee,napkins,,,,,,,,
other vegetables,brown bread,,,,,,,,,
sausage,pip fruit,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
tropical fruit,canned fish,,,,,,,,,
turkey,whipped/sour cream,,,,,,,,,
citrus fruit,bottled beer,,,,,,,,,
turkey,pip fruit,,,,,,,,,
curd,yogurt,detergent,,,,,,,,
domestic eggs,mayonnaise,,,,,,,,,
beef,domestic eggs,,,,,,,,,
other vegetables,curd,,,,,,,,,
whole milk,bottled water,,,,,,,,,
candy,specialty cheese,,,,,,,,,
rum,coffee,sliced cheese,,,,,,,,
other vegetables,frozen vegetables,cling film/bags,bottled water,,,,,,,
soda,soda,domestic eggs,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
root vegetables,canned beer,,,,,,,,,
salty snack,other vegetables,,,,,,,,,
sausage,whole milk,,,,,,,,,
yogurt,dog food,semi-finished bread,napkins,,,,,,,
sausage,soda,curd,house keeping products,,,,,,,
soda,pork,,,,,,,,,
berries,pip fruit,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
pork,hygiene articles,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
pip fruit,soda,,,,,,,,,
pastry,white bread,,,,,,,,,
yogurt,other vegetables,rolls/buns,herbs,,,,,,,
sausage,soda,,,,,,,,,
pork,citrus fruit,,,,,,,,,
yogurt,soda,yogurt,,,,,,,,
newspapers,soda,female sanitary products,,,,,,,,
napkins,coffee,,,,,,,,,
packaged fruit/vegetables,chocolate,,,,,,,,,
tropical fruit,curd,,,,,,,,,
ham,tropical fruit,,,,,,,,,
pip fruit,pork,brown bread,whole milk,,,,,,,
newspapers,whole milk,,,,,,,,,
yogurt,soda,,,,,,,,,
bottled water,soda,,,,,,,,,
UHT-milk,sugar,,,,,,,,,
cooking chocolate,red/blush wine,cleaner,,,,,,,,
ice cream,pastry,,,,,,,,,
bags,yogurt,soda,,,,,,,,
specialty chocolate,soft cheese,,,,,,,,,
roll products ,seasonal products,,,,,,,,,
candles,canned fish,oil,,,,,,,,
fruit/vegetable juice,other vegetables,,,,,,,,,
other vegetables,sausage,sliced cheese,rolls/buns,,,,,,,
whole milk,root vegetables,,,,,,,,,
whole milk,soda,,,,,,,,,
ketchup,hard cheese,rolls/buns,,,,,,,,
oil,other vegetables,,,,,,,,,
other vegetables,whipped/sour cream,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
coffee,misc. beverages,,,,,,,,,
waffles,specialty chocolate,,,,,,,,,
chocolate marshmallow,ready soups,,,,,,,,,
photo/film,whole milk,,,,,,,,,
bottled water,frankfurter,dessert,root vegetables,,,,,,,
sausage,domestic eggs,sugar,,,,,,,,
beef,frozen meals,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
seasonal products,oil,liquor (appetizer),cookware,,,,,,,
root vegetables,other vegetables,white wine,,,,,,,,
bottled water,yogurt,,,,,,,,,
baking powder,yogurt,,,,,,,,,
red/blush wine,other vegetables,,,,,,,,,
sausage,detergent,hygiene articles,,,,,,,,
pork,pastry,,,,,,,,,
tropical fruit,pastry,,,,,,,,,
Instant food products,whipped/sour cream,,,,,,,,,
pip fruit,dessert,hard cheese,,,,,,,,
pork,finished products,citrus fruit,misc. beverages,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
seasonal products,other vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
sausage,flour,,,,,,,,,
sausage,domestic eggs,,,,,,,,,
pip fruit,soft cheese,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
cream cheese ,pickled vegetables,,,,,,,,,
pork,other vegetables,,,,,,,,,
frankfurter,whole milk,fruit/vegetable juice,pasta,,,,,,,
meat,herbs,,,,,,,,,
pastry,whole milk,,,,,,,,,
frozen vegetables,cream cheese ,,,,,,,,,
whole milk,brown bread,,,,,,,,,
domestic eggs,napkins,,,,,,,,,
sweet spreads,herbs,long life bakery product,,,,,,,,
frankfurter,canned beer,citrus fruit,frozen vegetables,chicken,oil,soda,,,,
berries,other vegetables,,,,,,,,,
oil,soda,,,,,,,,,
curd,tropical fruit,,,,,,,,,
bottled beer,chicken,baking powder,curd,,,,,,,
tropical fruit,coffee,,,,,,,,,
whipped/sour cream,soda,,,,,,,,,
chicken,frozen vegetables,,,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
flour,pork,butter,shopping bags,hard cheese,,,,,,
chocolate,other vegetables,,,,,,,,,
fruit/vegetable juice,sausage,whole milk,pip fruit,,,,,,,
pastry,domestic eggs,dish cleaner,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
white wine,sugar,,,,,,,,,
yogurt,butter,,,,,,,,,
coffee,tidbits,,,,,,,,,
whipped/sour cream,sugar,brown bread,,,,,,,,
citrus fruit,cling film/bags,fruit/vegetable juice,,,,,,,,
bottled beer,beverages,,,,,,,,,
cereals,bottled water,,,,,,,,,
citrus fruit,long life bakery product,,,,,,,,,
berries,UHT-milk,newspapers,,,,,,,,
napkins,butter milk,cat food,shopping bags,,,,,,,
chicken,beef,,,,,,,,,
other vegetables,margarine,shopping bags,processed cheese,,,,,,,
whole milk,other vegetables,,,,,,,,,
waffles,white bread,,,,,,,,,
rolls/buns,grapes,shopping bags,,,,,,,,
dessert,cream cheese ,waffles,,,,,,,,
whole milk,sugar,whole milk,onions,processed cheese,pip fruit,whole milk,,,,
tropical fruit,whole milk,nut snack,sliced cheese,,,,,,,
brown bread,domestic eggs,,,,,,,,,
whole milk,curd,,,,,,,,,
tropical fruit,flower soil/fertilizer,flour,specialty bar,,,,,,,
photo/film,whole milk,yogurt,whole milk,white bread,pot plants,dessert,,,,
other vegetables,cream cheese ,,,,,,,,,
candles,canned beer,,,,,,,,,
napkins,brown bread,,,,,,,,,
root vegetables,other vegetables,,,,,,,,,
specialty bar,soda,,,,,,,,,
whole milk,coffee,brandy,,,,,,,,
bottled water,whole milk,rolls/buns,,,,,,,,
margarine,other vegetables,bottled water,meat spreads,,,,,,,
canned beer,citrus fruit,,,,,,,,,
pip fruit,butter,,,,,,,,,
sausage,salty snack,,,,,,,,,
yogurt,whipped/sour cream,,,,,,,,,
pet care,photo/film,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,misc. beverages,pot plants,,,,,,,,
female sanitary products,salt,,,,,,,,,
misc. beverages,whipped/sour cream,,,,,,,,,
yogurt,soda,,,,,,,,,
margarine,sausage,snack products,butter,whipped/sour cream,,,,,,
yogurt,other vegetables,,,,,,,,,
citrus fruit,whipped/sour cream,liquor,,,,,,,,
tropical fruit,brandy,whole milk,canned fish,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
female sanitary products,frozen fish,,,,,,,,,
other vegetables,dessert,,,,,,,,,
oil,male cosmetics,,,,,,,,,
packaged fruit/vegetables,liquor,shopping bags,,,,,,,,
canned beer,misc. beverages,,,,,,,,,
rolls/buns,soda,,,,,,,,,
yogurt,whole milk,,,,,,,,,
tropical fruit,pudding powder,,,,,,,,,
bottled beer,bottled water,rolls/buns,root vegetables,,,,,,,
sausage,dessert,,,,,,,,,
chicken,citrus fruit,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
fish,bottled beer,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
root vegetables,turkey,bottled water,,,,,,,,
other vegetables,yogurt,yogurt,,,,,,,,
tropical fruit,other vegetables,pastry,tropical fruit,long life bakery product,bottled water,UHT-milk,fruit/vegetable juice,,,
whole milk,white bread,newspapers,,,,,,,,
pickled vegetables,soda,,,,,,,,,
hamburger meat,other vegetables,,,,,,,,,
cocoa drinks,sliced cheese,,,,,,,,,
jam,house keeping products,,,,,,,,,
chocolate,waffles,,,,,,,,,
chewing gum,photo/film,yogurt,long life bakery product,soda,whole milk,,,,,
organic sausage,salty snack,white bread,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
beverages,soda,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
tropical fruit,dishes,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
tropical fruit,vinegar,sauces,,,,,,,,
rolls/buns,hard cheese,,,,,,,,,
citrus fruit,whole milk,fruit/vegetable juice,dishes,,,,,,,
yogurt,rolls/buns,rolls/buns,,,,,,,,
beef,citrus fruit,pastry,,,,,,,,
pork,UHT-milk,rolls/buns,cleaner,newspapers,,,,,,
grapes,other vegetables,,,,,,,,,
whole milk,salty snack,rolls/buns,,,,,,,,
soda,salt,sauces,curd,sugar,margarine,,,,,
bottled beer,dessert,cling film/bags,,,,,,,,
shopping bags,newspapers,,,,,,,,,
dessert,house keeping products,,,,,,,,,
whole milk,waffles,,,,,,,,,
whipped/sour cream,frozen meals,,,,,,,,,
onions,oil,,,,,,,,,
zwieback,white bread,,,,,,,,,
frankfurter,UHT-milk,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
canned beer,organic sausage,tropical fruit,shopping bags,,,,,,,
other vegetables,whole milk,,,,,,,,,
other vegetables,chewing gum,,,,,,,,,
sausage,butter milk,meat spreads,,,,,,,,
soft cheese,sugar,,,,,,,,,
whipped/sour cream,canned beer,,,,,,,,,
photo/film,canned beer,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
onions,specialty chocolate,canned fruit,,,,,,,,
sausage,whole milk,long life bakery product,UHT-milk,flour,chocolate,,,,,
beef,root vegetables,,,,,,,,,
meat,canned fish,brown bread,,,,,,,,
yogurt,other vegetables,,,,,,,,,
UHT-milk,beverages,,,,,,,,,
misc. beverages,onions,,,,,,,,,
coffee,baking powder,,,,,,,,,
tropical fruit,napkins,frozen vegetables,pastry,,,,,,,
sausage,bottled beer,,,,,,,,,
soda,mayonnaise,,,,,,,,,
tropical fruit,cat food,pot plants,curd,soft cheese,soft cheese,,,,,
nuts/prunes,brown bread,newspapers,,,,,,,,
other vegetables,sausage,rolls/buns,domestic eggs,waffles,whole milk,,,,,
soda,roll products ,seasonal products,,,,,,,,
other vegetables,sugar,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
brown bread,whole milk,white bread,,,,,,,,
ice cream,whole milk,,,,,,,,,
tropical fruit,root vegetables,Instant food products,,,,,,,,
butter,domestic eggs,,,,,,,,,
other vegetables,beverages,,,,,,,,,
specialty cheese,brown bread,,,,,,,,,
domestic eggs,soda,,,,,,,,,
fruit/vegetable juice,root vegetables,,,,,,,,,
sausage,beverages,,,,,,,,,
domestic eggs,fruit/vegetable juice,,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
chicken,dessert,,,,,,,,,
yogurt,herbs,pastry,whipped/sour cream,canned fish,,,,,,
citrus fruit,instant coffee,,,,,,,,,
yogurt,sugar,margarine,,,,,,,,
tropical fruit,curd,chocolate,,,,,,,,
brown bread,butter milk,oil,frozen meals,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
whole milk,yogurt,yogurt,rolls/buns,,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
